date,duration,disaster,claims,total_cost,losses_per_day,provinces
2023-07-27,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,13,57647.0,57647.0,"['Araba', 'La Rioja', 'Lleida', 'Navarra', 'Huesca']"
2023-11-02,3,CAUSAS NATURALES/EMBATE DE MAR,2,53287.0,17762.333333333332,['Pontevedra']
2023-01-07,5,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,69,45468.0,9093.6,"['Bizkaia', 'Lugo', 'Asturias', 'A Coruna', 'Cantabria']"
2023-12-22,2,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,4,44617.0,22308.5,['Las Palmas']
2023-08-04,2,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,5,42450.0,21225.0,['Illes Balears']
2023-10-22,1,CAUSAS NATURALES/EMBATE DE MAR,2,40667.0,40667.0,['Huelva']
2023-10-15,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,7,40657.0,40657.0,['Illes Balears']
2023-04-29,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,42,39918.0,39918.0,['Alicante']
2023-10-23,2,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,25,35038.0,17519.0,['Desconocido']
2023-02-28,2,CAUSAS NATURALES/EMBATE DE MAR,3,31139.0,15569.5,['Illes Balears']
2023-03-09,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,10,31080.0,31080.0,['Jaen']
2023-01-18,3,CAUSAS NATURALES/EMBATE DE MAR,6,28986.0,9662.0,['Illes Balears']
2023-08-03,2,CAUSAS NATURALES/EMBATE DE MAR,4,28341.0,14170.5,"['Bizkaia', 'Gipuzkoa']"
2023-09-29,2,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,23387.0,11693.5,['Illes Balears']
2023-11-05,1,CAUSAS NATURALES/EMBATE DE MAR,2,22669.0,22669.0,['Illes Balears']
2023-05-16,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,3,22367.0,22367.0,['Illes Balears']
2023-03-30,2,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,27,22257.0,11128.5,"['Lugo', 'Asturias', 'A Coruna']"
2023-01-20,2,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,4,19590.0,9795.0,['Caceres']
2023-12-07,3,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,19108.0,6369.333333333333,['Madrid']
2023-03-08,8,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,46,19049.0,2381.125,"['Lugo', 'Asturias', 'A Coruna']"
2023-09-03,2,CAUSAS NATURALES/EMBATE DE MAR,2,18774.0,9387.0,['Almeria']
2023-05-26,5,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,12,18706.0,3741.2,['Illes Balears']
2023-01-13,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,18447.0,18447.0,['Madrid']
2023-09-04,3,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,6,18077.0,6025.666666666667,['Illes Balears']
2023-12-04,4,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,5,17864.0,4466.0,"['Lugo', 'A Coruna']"
2023-10-16,2,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,17793.0,8896.5,['Barcelona']
2023-12-03,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,17288.0,17288.0,['Girona']
2023-09-15,3,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,3,17138.0,5712.666666666667,['Valencia']
2023-09-02,4,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,4,14745.0,3686.25,"['Tarragona', 'Soria', 'Zaragoza']"
2023-09-03,1,CAUSAS NATURALES/EMBATE DE MAR,1,13969.0,13969.0,['Illes Balears']
2023-02-07,2,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,13407.0,6703.5,"['Tarragona', 'Castellon']"
2023-03-25,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,12615.0,12615.0,"['Caceres', 'Toledo']"
2023-11-28,3,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,3,12421.0,4140.333333333333,"['Cantabria', 'Asturias']"
2023-11-03,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,11811.0,11811.0,['Illes Balears']
2023-04-29,3,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,7,11795.0,3931.6666666666665,['Murcia']
2023-11-05,5,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,13,11554.0,2310.8,['Illes Balears']
2023-03-09,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,2,10502.0,10502.0,"['Guadalajara', 'Madrid']"
2023-03-19,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,10070.0,10070.0,['Illes Balears']
2023-12-14,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,3,9537.0,9537.0,['Girona']
2023-11-30,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,9298.0,9298.0,['Santa Cruz de Tenerife']
2023-05-13,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,9224.0,9224.0,['Illes Balears']
2023-08-07,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,9066.0,9066.0,['Tarragona']
2023-06-18,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1,8989.0,8989.0,['A Coruna']
