,theme,locations,start_time,end_time,sources,df_indexes,affected_sectors,severity_ratio,answer_ratio
47,Inundacion,['Lugo'],2023-01-06,2023-01-12,"[64, 65, 66, 67]",[114],"['Energia', 'Transporte']","{'Transporte': (0.1875, 0.3125, 0.5), 'Energia': (0.11904761904761904, 0.11904761904761904, 0.11904761904761904)}","{8: (0.75, 0.9375, 1.0), 5: (1.0, 1.0, 1.0), 0: (0.25, 0.25, 0.25), 7: (0.25, 0.25, 0.25)}"
48,Desbordamientos,['Lugo'],2023-01-06,2023-01-12,"[65, 67, 68, 69, 70, 71]",[114],"['Energia', 'Transporte']","{'Transporte': (0.25, 0.3958333333333333, 0.5625), 'Energia': (0.0, 0.11904761904761904, 0.23809523809523808)}","{5: (0.75, 0.9166666666666666, 1.0), 8: (1.0, 1.0, 1.0), 0: (0.0, 0.25, 0.5), 7: (0.25, 0.375, 0.5)}"
49,Crecida,['Lugo'],2023-01-06,2023-01-12,"[64, 73, 66, 72]",[114],"['Energia', 'Transporte']","{'Transporte': (0.1875, 0.265625, 0.3125), 'Energia': (0.11904761904761904, 0.11904761904761904, 0.11904761904761904)}","{7: (0.25, 0.25, 0.25), 8: (0.75, 0.9375, 1.0), 0: (0.25, 0.25, 0.25)}"
50,Crecida,"['Lugo', 'Ourense', 'Asturias']",2023-01-17,2023-01-26,"[98, 99, 72, 74, 183, 184]","[146, 115, 21]","['Energia', 'Transporte', 'Agua y Alimentos']","{'Transporte': (0.1875, 0.234375, 0.25), 'Energia': (0.7142857142857143, 0.7142857142857143, 0.7142857142857143), 'Agua y Alimentos': (0.6666666666666666, 0.6666666666666666, 0.6666666666666666)}","{8: (0.75, 0.9375, 1.0), 0: (1.0, 1.0, 1.0), 1: (1.0, 1.0, 1.0), 14: (1.0, 1.0, 1.0), 16: (1.0, 1.0, 1.0)}"
51,Inundacion,"['Bizkaia', 'Ourense', 'Asturias']",2023-01-17,2023-01-26,"[65, 98, 99, 100, 201, 183]","[146, 21, 39]","['Energia', 'Transporte', 'Agua y Alimentos']","{'Energia': (0.7142857142857143, 0.7142857142857143, 0.7142857142857143), 'Transporte': (0.25, 0.359375, 0.5), 'Agua y Alimentos': (0.6666666666666666, 0.6666666666666666, 0.6666666666666666)}","{0: (1.0, 1.0, 1.0), 1: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0), 5: (1.0, 1.0, 1.0), 7: (0.75, 0.75, 0.75), 14: (1.0, 1.0, 1.0), 16: (1.0, 1.0, 1.0)}"
52,Desbordamientos,['Ourense'],2023-01-17,2023-01-19,"[65, 99, 100]",[146],['Transporte'],"{'Transporte': (0.25, 0.3958333333333333, 0.5)}","{8: (1.0, 1.0, 1.0), 5: (1.0, 1.0, 1.0), 7: (0.75, 0.75, 0.75)}"
53,Luvias Intensas,['Bizkaia'],2023-01-17,2023-01-20,[202],[39],['Transporte'],"{'Transporte': (0.25, 0.25, 0.25)}","{8: (1.0, 1.0, 1.0)}"
54,Inundacion,['Navarra'],2023-07-07,2023-07-10,"[91, 92]",[141],['Transporte'],"{'Transporte': (0.1875, 0.1875, 0.1875)}","{8: (0.75, 0.75, 0.75)}"
55,Luvias Intensas,['Navarra'],2023-07-07,2023-07-10,[93],[141],"['Transporte', 'Agua y Alimentos']","{'Transporte': (0.4375, 0.4375, 0.4375), 'Agua y Alimentos': (0.5, 0.5, 0.5)}","{7: (0.75, 0.75, 0.75), 8: (1.0, 1.0, 1.0), 14: (0.75, 0.75, 0.75), 16: (0.75, 0.75, 0.75)}"
56,Desbordamientos,['Navarra'],2023-07-07,2023-07-10,"[92, 93]",[141],"['Transporte', 'Agua y Alimentos']","{'Transporte': (0.1875, 0.3125, 0.4375), 'Agua y Alimentos': (0.5, 0.5, 0.5)}","{8: (0.75, 0.875, 1.0), 7: (0.75, 0.75, 0.75), 14: (0.75, 0.75, 0.75), 16: (0.75, 0.75, 0.75)}"
57,Temporal,['Almeria'],2023-01-23,2023-02-02,[181],[14],['Transporte'],"{'Transporte': (0.25, 0.25, 0.25)}","{8: (1.0, 1.0, 1.0)}"
58,Tempestad,['Lugo'],2023-01-23,2023-02-02,[77],[118],['Agua y Alimentos'],"{'Agua y Alimentos': (0.6666666666666666, 0.6666666666666666, 0.6666666666666666)}","{14: (1.0, 1.0, 1.0), 16: (1.0, 1.0, 1.0)}"
59,Borrasca,['Cantabria'],2023-01-23,2023-02-02,[237],[58],['Transporte'],"{'Transporte': (0.5, 0.5, 0.5)}","{6: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0)}"
60,Inundacion,"['Lugo', 'A Coruna']",2023-10-28,2023-11-03,"[4, 7]","[3, 117]",['Transporte'],"{'Transporte': (0.4375, 0.5625, 0.8125)}","{5: (0.75, 0.8333333333333334, 1.0), 8: (1.0, 1.0, 1.0), 6: (0.75, 0.75, 0.75), 7: (0.5, 0.5, 0.5)}"
61,Luvias Intensas,"['Lugo', 'A Coruna']",2023-10-28,2023-11-03,"[4, 13, 14, 7]","[3, 117]","['Energia', 'Transporte']","{'Energia': (0.7142857142857143, 0.7142857142857143, 0.7142857142857143), 'Transporte': (0.4375, 0.65, 1.0)}","{0: (1.0, 1.0, 1.0), 1: (1.0, 1.0, 1.0), 5: (0.75, 0.9166666666666666, 1.0), 6: (0.75, 0.9375, 1.0), 7: (0.5, 0.75, 1.0), 8: (1.0, 1.0, 1.0)}"
62,Desbordamientos,['A Coruna'],2023-10-29,2023-11-03,"[9, 10]",[3],"['Transporte', 'Sanidad', 'Aguas Residuales']","{'Transporte': (0.25, 0.40625, 0.5625), 'Sanidad': (0.08333333333333333, 0.08333333333333333, 0.08333333333333333), 'Aguas Residuales': (0.7352941176470589, 0.7352941176470589, 0.7352941176470589)}","{8: (1.0, 1.0, 1.0), 11: (0.25, 0.25, 0.25), 5: (0.25, 0.25, 0.25), 6: (1.0, 1.0, 1.0), 17: (1.0, 1.0, 1.0), 19: (0.75, 0.75, 0.75)}"
63,Crecida,['A Coruna'],2023-10-29,2023-11-03,[10],[3],"['Transporte', 'Aguas Residuales']","{'Transporte': (0.5625, 0.5625, 0.5625), 'Aguas Residuales': (0.7352941176470589, 0.7352941176470589, 0.7352941176470589)}","{5: (0.25, 0.25, 0.25), 6: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0), 17: (1.0, 1.0, 1.0), 19: (0.75, 0.75, 0.75)}"
64,Dana,"['Lugo', 'A Coruna']",2023-10-28,2023-11-03,"[13, 14]","[3, 117]","['Energia', 'Transporte']","{'Energia': (0.7142857142857143, 0.7142857142857143, 0.7142857142857143), 'Transporte': (0.5, 0.6666666666666666, 1.0)}","{0: (1.0, 1.0, 1.0), 1: (1.0, 1.0, 1.0), 5: (1.0, 1.0, 1.0), 6: (1.0, 1.0, 1.0), 7: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0)}"
65,Tempestad,['Lleida'],2023-07-27,2023-07-28,[63],[113],['Energia'],"{'Energia': (0.23809523809523808, 0.23809523809523808, 0.23809523809523808)}","{0: (0.25, 0.25, 0.25), 1: (0.5, 0.5, 0.5)}"
66,Inundacion,['Las Palmas'],2023-12-03,2023-12-07,[57],[109],['Transporte'],"{'Transporte': (0.125, 0.125, 0.125)}","{8: (0.5, 0.5, 0.5)}"
67,Desbordamientos,['Las Palmas'],2023-12-03,2023-12-07,"[58, 59]",[109],"['Aguas Residuales', 'Energia', 'Agua y Alimentos', 'Transporte', 'Sanidad']","{'Energia': (0.47619047619047616, 0.5059523809523809, 0.5357142857142857), 'Transporte': (0.25, 0.25, 0.25), 'Sanidad': (0.25, 0.25, 0.25), 'Agua y Alimentos': (0.6666666666666666, 0.8333333333333333, 1.0), 'Aguas Residuales': (1.0, 1.0, 1.0)}","{0: (0.5, 0.625, 0.75), 1: (0.75, 0.875, 1.0), 8: (1.0, 1.0, 1.0), 10: (0.75, 0.75, 0.75), 14: (1.0, 1.0, 1.0), 15: (1.0, 1.0, 1.0), 16: (1.0, 1.0, 1.0), 17: (1.0, 1.0, 1.0), 18: (1.0, 1.0, 1.0), 19: (1.0, 1.0, 1.0)}"
68,Tempestad,['Illes Balears'],2023-08-27,2023-08-28,"[43, 44]",[103],"['Energia', 'Transporte', 'Sanidad']","{'Transporte': (0.25, 0.5, 0.75), 'Sanidad': (0.16666666666666666, 0.16666666666666666, 0.16666666666666666), 'Energia': (0.35714285714285715, 0.35714285714285715, 0.35714285714285715)}","{5: (1.0, 1.0, 1.0), 6: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0), 11: (0.5, 0.5, 0.5), 0: (0.5, 0.5, 0.5), 1: (0.5, 0.5, 0.5), 7: (0.0, 0.0, 0.0)}"
69,Borrasca,['Illes Balears'],2023-08-27,2023-08-28,"[43, 45, 46, 47, 48, 49]",[103],"['Energia', 'Sanidad', 'Transporte', 'Aguas Residuales']","{'Energia': (0.4166666666666667, 0.5158730158730159, 0.5952380952380952), 'Transporte': (0.25, 0.5416666666666666, 0.75), 'Aguas Residuales': (1.0, 1.0, 1.0), 'Sanidad': (0.16666666666666666, 0.16666666666666666, 0.16666666666666666)}","{0: (0.5, 0.6666666666666666, 0.75), 1: (0.75, 0.8333333333333334, 1.0), 6: (1.0, 1.0, 1.0), 7: (0.75, 0.75, 0.75), 8: (0.75, 0.9583333333333334, 1.0), 17: (1.0, 1.0, 1.0), 18: (1.0, 1.0, 1.0), 19: (1.0, 1.0, 1.0), 5: (0.75, 0.9166666666666666, 1.0), 11: (0.5, 0.5, 0.5)}"
70,Vientos fuertes,['Illes Balears'],2023-08-27,2023-08-28,"[50, 45]",[103],"['Energia', 'Transporte']","{'Energia': (0.4166666666666667, 0.4166666666666667, 0.4166666666666667), 'Transporte': (0.6875, 0.8125, 0.9375)}","{0: (0.5, 0.5, 0.5), 1: (0.75, 0.75, 0.75), 6: (1.0, 1.0, 1.0), 7: (0.75, 0.75, 0.75), 8: (1.0, 1.0, 1.0), 5: (1.0, 1.0, 1.0)}"
71,Borrasca,['Illes Balears'],2023-02-28,2023-03-03,"[40, 41, 42]",[102],"['Energia', 'Transporte']","{'Energia': (0.47619047619047616, 0.5753968253968255, 0.7142857142857143), 'Transporte': (0.5, 0.6041666666666666, 0.75)}","{0: (0.75, 0.9166666666666666, 1.0), 1: (0.75, 0.875, 1.0), 5: (0.25, 0.625, 1.0), 6: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0)}"
72,Temporal,['Illes Balears'],2023-02-28,2023-03-03,[40],[102],"['Energia', 'Transporte']","{'Energia': (0.47619047619047616, 0.47619047619047616, 0.47619047619047616), 'Transporte': (0.5, 0.5, 0.5)}","{0: (1.0, 1.0, 1.0), 6: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0)}"
73,Vientos fuertes,['Illes Balears'],2023-02-28,2023-03-03,"[40, 41, 42]",[102],"['Energia', 'Transporte']","{'Energia': (0.47619047619047616, 0.5753968253968255, 0.7142857142857143), 'Transporte': (0.5, 0.6041666666666666, 0.75)}","{0: (0.75, 0.9166666666666666, 1.0), 1: (0.75, 0.875, 1.0), 5: (0.25, 0.625, 1.0), 6: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0)}"
74,Inundacion,['Illes Balears'],2023-09-21,2023-09-24,"[37, 38]",[99],"['Energia', 'Transporte']","{'Energia': (0.23809523809523808, 0.23809523809523808, 0.23809523809523808), 'Transporte': (0.4375, 0.4375, 0.4375)}","{0: (0.5, 0.5, 0.5), 7: (0.75, 0.75, 0.75), 8: (1.0, 1.0, 1.0)}"
75,Dana,['Illes Balears'],2023-09-21,2023-09-24,"[37, 39]",[99],"['Energia', 'Transporte']","{'Energia': (0.23809523809523808, 0.41666666666666663, 0.5952380952380952), 'Transporte': (0.4375, 0.4375, 0.4375)}","{0: (0.5, 0.625, 0.75), 7: (0.75, 0.75, 0.75), 8: (1.0, 1.0, 1.0), 1: (1.0, 1.0, 1.0)}"
