,date,disaster,province,total_cost,claims,duration,losses_day
755,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cordoba,28159.0,12,2,14079.5
756,2023-10-22,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cordoba,7958.0,3,1,7958.0
764,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Cordoba,8978313.0,8112,8,1122289.125
765,2023-10-28,CAUSAS NATURALES/EMBATE DE MAR,"Coruna, A",3867.0,1,1,3867.0
766,2023-01-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",630.0,1,1,630.0
768,2023-01-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",63003.0,27,2,31501.5
769,2023-01-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",3960.0,1,1,3960.0
770,2023-01-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",5141.0,1,1,5141.0
775,2023-01-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",174008.0,31,5,34801.6
776,2023-01-24,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",2471.0,1,1,2471.0
777,2023-01-31,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",2662.0,1,1,2662.0
778,2023-02-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",594.0,1,1,594.0
779,2023-02-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",2050.0,1,1,2050.0
780,2023-02-25,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",2396.0,1,1,2396.0
781,2023-03-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",1059.0,1,1,1059.0
782,2023-04-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",510.0,1,1,510.0
783,2023-04-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",760.0,1,1,760.0
784,2023-05-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",1360.0,1,1,1360.0
785,2023-05-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",33742.0,11,1,33742.0
786,2023-05-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",630.0,1,1,630.0
789,2023-06-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",53983.0,13,3,17994.333333333332
793,2023-06-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",42574.0,15,4,10643.5
794,2023-06-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",14026.0,6,1,14026.0
795,2023-06-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",398.0,1,1,398.0
796,2023-09-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",5730.0,2,1,5730.0
799,2023-09-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",82303.0,20,3,27434.333333333332
800,2023-09-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",20891.0,2,1,20891.0
801,2023-09-18,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",26913.0,1,1,26913.0
802,2023-09-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",13206.0,4,1,13206.0
803,2023-09-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",720.0,1,1,720.0
804,2023-10-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",4339.0,4,1,4339.0
805,2023-10-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",40.0,1,1,40.0
809,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",199758.0,68,4,49939.5
814,2023-10-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",206401.0,46,5,41280.2
822,2023-11-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",109953.0,30,8,13744.125
823,2023-11-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",3655.0,3,1,3655.0
827,2023-11-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",735753.0,121,4,183938.25
829,2023-11-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",3360.0,2,2,1680.0
831,2023-12-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",17008.0,4,2,8504.0
832,2023-12-18,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",1304.0,1,1,1304.0
833,2023-12-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Coruna, A",1771.0,2,1,1771.0
834,2023-01-01,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Coruna, A",12462.0,10,1,12462.0
835,2023-01-09,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Coruna, A",388.0,1,1,388.0
845,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Coruna, A",303016.0,302,10,30301.6
847,2023-03-14,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Coruna, A",1643.0,6,2,821.5
848,2023-03-27,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Coruna, A",46.0,1,1,46.0
849,2023-03-30,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Coruna, A",1475.0,4,1,1475.0
850,2023-06-18,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Coruna, A",8989.0,1,1,8989.0
851,2023-10-13,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Coruna, A",4442.0,2,1,4442.0
859,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Coruna, A",161567.0,170,8,20195.875
861,2023-10-30,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Coruna, A",14619.0,7,2,7309.5
866,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Coruna, A",1514909.0,2128,5,302981.8
867,2023-12-03,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Coruna, A",1141.0,1,1,1141.0
868,2023-12-08,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Coruna, A",182.0,1,1,182.0
871,2023-05-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cuenca,118790.0,29,3,39596.666666666664
874,2023-06-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cuenca,12000.0,7,3,4000.0
878,2023-06-11,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cuenca,273585.0,86,4,68396.25
879,2023-06-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cuenca,995.0,1,1,995.0
880,2023-06-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cuenca,2569.0,1,1,2569.0
881,2023-07-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cuenca,5374.0,1,1,5374.0
882,2023-07-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cuenca,1038.0,1,1,1038.0
883,2023-08-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cuenca,785.0,1,1,785.0
889,2023-09-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cuenca,2967331.0,341,6,494555.1666666667
896,2023-09-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cuenca,42508.0,19,7,6072.571428571428
898,2023-09-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cuenca,3551954.0,273,2,1775977.0
899,2023-10-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cuenca,7380.0,1,1,7380.0
901,2023-10-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Desconocido,35038.0,25,2,17519.0
903,2023-08-03,CAUSAS NATURALES/EMBATE DE MAR,Gipuzkoa,20685.0,3,2,10342.5
904,2023-05-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Gipuzkoa,288667.0,23,1,288667.0
905,2023-06-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Gipuzkoa,8809.0,1,1,8809.0
907,2023-06-18,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Gipuzkoa,75622.0,26,2,37811.0
909,2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Gipuzkoa,18180.0,7,2,9090.0
913,2023-09-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Gipuzkoa,58795.0,16,4,14698.75
915,2023-09-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Gipuzkoa,23067.0,9,2,11533.5
917,2023-10-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Gipuzkoa,15079.0,2,2,7539.5
918,2023-10-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Gipuzkoa,3422.0,1,1,3422.0
925,2023-01-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Gipuzkoa,657807.0,532,7,93972.42857142857
927,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Gipuzkoa,1344.0,8,2,672.0
930,2023-10-19,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Gipuzkoa,7458.0,6,3,2486.0
932,2023-10-22,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Gipuzkoa,463.0,2,2,231.5
937,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Gipuzkoa,1095198.0,942,5,219039.6
938,2023-01-17,CAUSAS NATURALES/EMBATE DE MAR,Girona,6361.0,1,1,6361.0
939,2023-02-07,CAUSAS NATURALES/EMBATE DE MAR,Girona,424.0,1,1,424.0
940,2023-09-22,CAUSAS NATURALES/EMBATE DE MAR,Girona,4687.0,1,1,4687.0
942,2023-10-21,CAUSAS NATURALES/EMBATE DE MAR,Girona,7807.0,2,2,3903.5
943,2023-11-03,CAUSAS NATURALES/EMBATE DE MAR,Girona,5118.0,1,1,5118.0
944,2023-05-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,4925.0,1,1,4925.0
946,2023-05-25,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,22725.0,8,2,11362.5
950,2023-06-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,5283.0,5,4,1320.75
951,2023-06-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,6588.0,1,1,6588.0
952,2023-06-11,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,9667.0,1,1,9667.0
953,2023-06-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,87673.0,17,1,87673.0
954,2023-06-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,3346.0,1,1,3346.0
955,2023-06-22,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,3760.0,2,1,3760.0
956,2023-07-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,30710.0,8,1,30710.0
957,2023-08-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,10421.0,3,1,10421.0
959,2023-09-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,311770.0,74,2,155885.0
960,2023-09-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,5805.0,1,1,5805.0
961,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,59900.0,1,1,59900.0
962,2023-12-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Girona,17288.0,1,1,17288.0
967,2023-01-19,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Girona,52497.0,65,5,10499.4
970,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Girona,18109.0,24,3,6036.333333333333
971,2023-04-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Girona,1693.0,1,1,1693.0
972,2023-08-27,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Girona,816.0,2,1,816.0
974,2023-10-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Girona,2352.0,6,2,1176.0
979,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Girona,46282.0,88,5,9256.4
981,2023-11-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Girona,1698.0,3,2,849.0
982,2023-12-14,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Girona,9537.0,3,1,9537.0
983,2023-05-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Granada,1137.0,1,1,1137.0
984,2023-05-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Granada,566.0,1,1,566.0
986,2023-05-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Granada,20913.0,14,2,10456.5
989,2023-05-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Granada,346763.0,5,3,115587.66666666667
1001,2023-06-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Granada,1283094.0,525,12,106924.5
1002,2023-06-08,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Granada,9715.0,5,1,9715.0
1004,2023-06-22,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Granada,30786.0,21,2,15393.0
1005,2023-08-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Granada,1834.0,1,1,1834.0
1007,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Granada,21388.0,8,2,10694.0
1008,2023-09-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Granada,62498.0,17,1,62498.0
1011,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Granada,49615.0,36,3,16538.333333333332
1013,2023-10-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Granada,4658.0,3,2,2329.0
1018,2023-01-18,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Granada,10139.0,18,5,2027.8
1019,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Granada,57.0,1,1,57.0
1020,2023-09-03,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Granada,61.0,1,1,61.0
1021,2023-09-06,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Granada,1389.0,1,1,1389.0
1029,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Granada,1540308.0,2001,8,192538.5
1035,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Granada,265572.0,233,6,44262.0
1036,2023-12-08,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Granada,351.0,1,1,351.0
1037,2023-01-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,168.0,1,1,168.0
1038,2023-03-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,6997.0,1,1,6997.0
1039,2023-05-24,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,4100.0,6,1,4100.0
1040,2023-05-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,968.0,1,1,968.0
1041,2023-05-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,481.0,1,1,481.0
1044,2023-06-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,78862.0,17,3,26287.333333333332
1045,2023-06-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,482.0,1,1,482.0
1046,2023-06-18,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,68080.0,8,1,68080.0
1047,2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,14986.0,5,1,14986.0
1048,2023-06-25,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,1945.0,1,1,1945.0
1052,2023-09-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,193010.0,84,4,48252.5
1056,2023-09-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,10038.0,6,4,2509.5
1063,2023-09-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,469871.0,164,7,67124.42857142857
1065,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,210721.0,27,2,105360.5
1067,2023-10-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,7926.0,3,2,3963.0
1070,2023-12-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Guadalajara,80864.0,19,3,26954.666666666668
1071,2023-01-17,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Guadalajara,270.0,1,1,270.0
1072,2023-11-02,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Guadalajara,1332.0,3,1,1332.0
1073,2023-11-04,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Guadalajara,1025.0,2,1,1025.0
1074,2023-04-19,CAUSAS NATURALES/EMBATE DE MAR,Huelva,413.0,1,1,413.0
1075,2023-09-30,CAUSAS NATURALES/EMBATE DE MAR,Huelva,150.0,1,1,150.0
1076,2023-10-22,CAUSAS NATURALES/EMBATE DE MAR,Huelva,40667.0,2,1,40667.0
1077,2023-05-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huelva,1328.0,1,1,1328.0
1078,2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huelva,814.0,1,1,814.0
1079,2023-09-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huelva,1744.0,1,1,1744.0
1080,2023-10-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huelva,6602.0,1,1,6602.0
1087,2023-10-24,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huelva,3410456.0,812,7,487208.0
1089,2023-10-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huelva,91388.0,28,2,45694.0
1090,2023-11-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huelva,355.0,1,1,355.0
1091,2023-11-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huelva,1276.0,1,1,1276.0
1093,2023-12-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huelva,2359.0,3,2,1179.5
1101,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Huelva,2336790.0,838,8,292098.75
1102,2023-05-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,453.0,1,1,453.0
1104,2023-05-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,442426.0,20,2,221213.0
1105,2023-06-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,906.0,1,1,906.0
1107,2023-06-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,28320.0,7,2,14160.0
1109,2023-06-18,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,2637.0,5,2,1318.5
1112,2023-06-22,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,2987.0,3,3,995.6666666666666
1113,2023-06-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,2926.0,3,1,2926.0
1114,2023-07-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,30598.0,11,1,30598.0
1115,2023-07-08,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,4084.0,1,1,4084.0
1116,2023-07-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,15630.0,3,1,15630.0
1117,2023-08-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,3520.0,3,1,3520.0
1120,2023-08-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,14505.0,7,3,4835.0
1123,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,6432.0,4,3,2144.0
1124,2023-09-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,92.0,1,1,92.0
1125,2023-10-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,4764.0,1,1,4764.0
1126,2023-10-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,3750.0,2,1,3750.0
1128,2023-11-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,123064.0,16,2,61532.0
1129,2023-11-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,37769.0,1,1,37769.0
1130,2023-11-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,4120.0,2,1,4120.0
1131,2023-12-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Huesca,4663.0,1,1,4663.0
1140,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Huesca,268726.0,193,9,29858.444444444445
1141,2023-07-27,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Huesca,4240.0,5,1,4240.0
1145,2023-10-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Huesca,11469.0,7,4,2867.25
1146,2023-10-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Huesca,2220.0,2,1,2220.0
1147,2023-10-26,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Huesca,57.0,1,1,57.0
1152,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Huesca,13722.0,18,5,2744.4
1154,2023-11-22,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Huesca,2480.0,5,2,1240.0
1155,2023-01-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Jaen,5024.0,1,1,5024.0
1156,2023-03-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Jaen,31080.0,10,1,31080.0
1158,2023-05-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Jaen,41484.0,13,2,20742.0
1159,2023-06-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Jaen,2585.0,1,1,2585.0
1160,2023-06-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Jaen,4747.0,2,1,4747.0
1161,2023-06-08,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Jaen,1970.0,1,1,1970.0
1162,2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Jaen,3746.0,3,1,3746.0
1164,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Jaen,22525.0,7,2,11262.5
1166,2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Jaen,223318.0,20,2,111659.0
1168,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Jaen,33510.0,15,2,16755.0
1170,2023-10-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Jaen,4594.0,3,2,2297.0
1175,2023-11-04,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Jaen,13027.0,23,5,2605.4
1176,2023-01-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,192.0,1,1,192.0
1177,2023-01-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,807.0,2,1,807.0
1178,2023-01-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,732.0,1,1,732.0
1179,2023-05-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,704.0,1,1,704.0
1180,2023-06-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,2428.0,2,1,2428.0
1183,2023-06-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,7083.0,4,3,2361.0
1189,2023-06-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,185888.0,101,6,30981.333333333332
1194,2023-06-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,8690.0,6,5,1738.0
1196,2023-06-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,5537.0,2,2,2768.5
1197,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,1521.0,3,1,1521.0
1198,2023-09-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,3627.0,1,1,3627.0
1199,2023-09-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,907.0,1,1,907.0
1202,2023-09-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,5652.0,5,3,1884.0
1203,2023-10-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,6743.0,3,1,6743.0
1205,2023-10-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,2938.0,2,2,1469.0
1206,2023-11-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,234.0,1,1,234.0
1207,2023-11-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Leon,4663.0,1,1,4663.0
1208,2023-01-01,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Leon,4273.0,14,1,4273.0
1214,2023-01-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Leon,50247.0,88,6,8374.5
1215,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Leon,1840.0,8,1,1840.0
1223,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Leon,28021.0,72,8,3502.625
1224,2023-10-28,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Leon,3573.0,11,1,3573.0
1230,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Leon,148482.0,296,6,24747.0
1231,2023-05-22,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Lleida,381.0,1,1,381.0
1232,2023-05-24,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Lleida,307.0,1,1,307.0
