,date,disaster,province,total_cost,claims,duration,losses_day
2218,2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,189005.0,66,6,31500.833333333332
2219,2023-06-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,2501.0,2,1,2501.0
2220,2023-06-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,1364.0,1,1,1364.0
2221,2023-06-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,23034.0,2,1,23034.0
2229,2023-07-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,78104102.0,3051,8,9763012.75
2230,2023-08-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,312.0,1,1,312.0
2236,2023-09-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,242160.0,90,6,40360.0
2237,2023-09-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,6997.0,1,1,6997.0
2239,2023-09-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,64370.0,18,2,32185.0
2242,2023-09-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,10128.0,5,3,3376.0
2243,2023-09-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,166.0,1,1,166.0
2244,2023-10-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,2167.0,1,1,2167.0
2245,2023-01-14,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Zaragoza,3201.0,1,1,3201.0
2252,2023-01-22,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Zaragoza,43416.0,49,7,6202.285714285715
2253,2023-03-10,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Zaragoza,874.0,2,1,874.0
2254,2023-09-03,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Zaragoza,114.0,1,1,114.0
2257,2023-10-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Zaragoza,11340.0,12,3,3780.0
2259,2023-10-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Zaragoza,1968.0,5,2,984.0
2260,2023-10-26,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Zaragoza,871.0,1,1,871.0
2265,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Zaragoza,298576.0,310,5,59715.2
