,date,disaster,province,total_cost,claims,postal_codes,duration,losses_day
1387,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Lugo,108721.0,144,"[27648, 27776, 27650, 27780, 27788, 27277, 27662, 27278, 27664, 27793, 27666, 27790, 27668, 27796, 27670, 27798, 27287, 27800, 27677, 27422, 27679, 27811, 27814, 27818, 27824, 27698, 27700, 27320, 27835, 27325, 27710, 27841, 27713, 27332, 27460, 27334, 27335, 27845, 27466, 27850, 27346, 27730, 27348, 27861, 27860, 27863, 27865, 27774, 27867, 27740, 27869, 27870, 27866, 27620, 27876, 27751, 27880, 27879, 27377, 27378, 27891, 27890, 27765, 27766, 27893, 27640, 27892, 27130, 27131, 27132, 27646, 27647]",8,13590.125
1389,2023-10-30,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Lugo,599.0,4,"[27850, 27867]",2,299.5
1394,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Lugo,938417.0,1060,"[27649, 27650, 27140, 27141, 27142, 27656, 27658, 27659, 27146, 27150, 27663, 27664, 27665, 27154, 27155, 27667, 27157, 27670, 27668, 27160, 27161, 27153, 27163, 27675, 27677, 27676, 27680, 27169, 27170, 27279, 27686, 27688, 27181, 27183, 27184, 27695, 27698, 27187, 27700, 27191, 27192, 27710, 27711, 27712, 27713, 27714, 27715, 27720, 27210, 27211, 27215, 27730, 27220, 27738, 27740, 27228, 27229, 27230, 27744, 27232, 27231, 27747, 27235, 27233, 27750, 27240, 27242, 27244, 27246, 27760, 27250, 27765, 27766, 27767, 27256, 27770, 27259, 27260, 27773, 27774, 27776, 27266, 27779, 27780, 27267, 27270, 27271, 27272, 27273, 27785, 27787, 27788, 27789, 27790, 27278, 27792, 27793, 27810, 27795, 27796, 27797, 27798, 27287, 27800, 27286, 27290, 27293, 27294, 27813, 27296, 27298, 27299, 27300, 27811, 27814, 27815, 27812, 27305, 27818, 27307, 27308, 27309, 27306, 27823, 27816, 27825, 27826, 27317, 27830, 27320, 27833, 27834, 27835, 27836, 27324, 27325, 27837, 27840, 27832, 27330, 27843, 27844, 27334, 27336, 27850, 27345, 27346, 27347, 27860, 27861, 27863, 27864, 27865, 27866, 27867, 27868, 27870, 27360, 27363, 27876, 27877, 27878, 27879, 27367, 27880, 27369, 27370, 27368, 27372, 27373, 27375, 27888, 27377, 27890, 27891, 27892, 27893, 27380, 27376, 27378, 27379, 27889, 27392, 27413, 27500, 27510, 27511, 27001, 27514, 27003, 27004, 27002, 27518, 27519, 27550, 27152, 27559, 27560, 27568, 27569, 27600, 27611, 27100, 27615, 27616, 27617, 27620, 27110, 27112, 27625, 27116, 27117, 27630, 27120, 27632, 27122, 27636, 27127, 27640, 27130, 27131, 27133]",5,187683.4
1395,2023-12-07,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Lugo,841.0,1,[27876],1,841.0
1396,2023-12-27,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Lugo,220.0,1,[27850],1,220.0
1397,2023-12-30,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Lugo,1580.0,1,[27866],1,1580.0
1398,2023-01-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,18447.0,1,[28320],1,18447.0
1399,2023-03-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,3505.0,1,[28970],1,3505.0
1400,2023-05-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,1401.0,1,[28042],1,1401.0
1409,2023-06-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,6014351.0,1204,"[28680, 28180, 28700, 28701, 28702, 28703, 28708, 28709, 28200, 28729, 28221, 28223, 28224, 28229, 28231, 28750, 28240, 28760, 28250, 28260, 28280, 28794, 28802, 28803, 28804, 28805, 28806, 28294, 28810, 28812, 28300, 28814, 28816, 28821, 28822, 28823, 28830, 28320, 28840, 28330, 28850, 28340, 28341, 28342, 28343, 28350, 28359, 28880, 28890, 28380, 28391, 28400, 28914, 28410, 28411, 28412, 28413, 28935, 28430, 28440, 28450, 28971, 28978, 28979, 28990, 28991, 28490, 28491, 28492, 28500, 28510, 28511, 28000, 28512, 28002, 28005, 28007, 28008, 28521, 28010, 28011, 28013, 28016, 28017, 28530, 28019, 28020, 28021, 28022, 28023, 28024, 28025, 28529, 28027, 28029, 28030, 28032, 28033, 28034, 28035, 28036, 28037, 28038, 28039, 28041, 28042, 28043, 28045, 28046, 28560, 28049, 28050, 28051, 28048, 28053, 28054, 28609, 28100, 28108, 28109, 28630, 28640, 28140, 28660, 28150]",9,668261.2222222222
