date,disaster,province,total_cost,claims,postal_codes,duration,losses_day
2023-01-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,206797.0,65,"[33156, 33547, 33299, 33300, 33691, 33438, 33440, 33697, 33314, 33187, 33315, 33318, 33320, 33203, 33590, 33210, 33211, 33594, 33469, 33470, 33213, 33740, 33491, 33507, 33129, 33392, 33394, 33405]",6,34466.166666666664
2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,1182323.0,397,"[33920, 33929, 33930, 33420, 33423, 33424, 33937, 33938, 33299, 33425, 33429, 33430, 33180, 33438, 33311, 33825, 33314, 33187, 33186, 33192, 33193, 33195, 33199, 33201, 33202, 33203, 33204, 33205, 33206, 33207, 33208, 33209, 33210, 33211, 33595, 33212, 33470, 33390, 33600, 33350, 33617, 33618, 33750, 33879, 33119, 33510, 33001, 33900, 33518, 33519, 33007, 33392, 33010, 33394, 33011, 33012, 33391, 33009, 33008]",8,147790.375
2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,879819.0,1049,"[33792, 33793, 33794, 33795, 33798, 33800, 33811, 33812, 33813, 33816, 33819, 33820, 33316, 33829, 33320, 33326, 33840, 33328, 33330, 33341, 33342, 33343, 33344, 33345, 33346, 33860, 33866, 33867, 33870, 33873, 33874, 33875, 33877, 33880, 33887, 33891, 33400, 33401, 33402, 33403, 33404, 33405, 33410, 33412, 33414, 33417, 33418, 33440, 33448, 33449, 33450, 33456, 33457, 33459, 33460, 33468, 33470, 33490, 33492, 33500, 33507, 33508, 33509, 33001, 33519, 33530, 33539, 33540, 33547, 33549, 33550, 33554, 33556, 33557, 33559, 33560, 33567, 33568, 33569, 33570, 33576, 33579, 33583, 33584, 33588, 33589, 33590, 33591, 33592, 33593, 33594, 33595, 33596, 33597, 33598, 33138, 33150, 33154, 33155, 33156, 33157, 33158, 33159, 33700, 33707, 33708, 33710, 33200, 33716, 33717, 33719, 33720, 33726, 33727, 33740, 33746, 33747, 33748, 33749, 33750, 33757, 33758, 33769, 33770, 33774, 33775, 33780, 33783, 33784, 33785, 33786, 33787, 33788, 33789, 33790, 33791]",10,87981.9
2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,323520.0,439,"[33793, 33794, 33795, 33797, 33800, 33810, 33299, 33812, 33813, 33300, 33816, 33817, 33818, 33820, 33312, 33314, 33316, 33836, 33837, 33840, 33868, 33873, 33874, 33880, 33889, 33891, 33391, 33393, 33394, 33400, 33401, 33402, 33403, 33404, 33405, 33410, 33412, 33416, 33417, 33930, 33418, 33934, 33424, 33937, 33429, 33430, 33438, 33440, 33448, 33449, 33450, 33456, 33457, 33458, 33459, 33460, 33468, 33469, 33470, 33990, 33997, 33490, 33491, 33492, 33500, 33509, 33510, 33001, 33004, 33006, 33519, 33520, 33518, 33011, 33013, 33535, 33554, 33555, 33560, 33567, 33590, 33594, 33596, 33600, 33610, 33114, 33629, 33630, 33117, 33120, 33125, 33126, 33129, 33138, 33139, 33150, 33154, 33156, 33157, 33670, 33159, 33162, 33677, 33680, 33685, 33691, 33695, 33700, 33191, 33192, 33194, 33195, 33710, 33199, 33201, 33203, 33716, 33717, 33204, 33719, 33206, 33209, 33210, 33211, 33212, 33213, 33727, 33728, 33734, 33740, 33746, 33747, 33749, 33750, 33759, 33780, 33788, 33789, 33790, 33791]",8,40440.0
2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,2650646.0,3427,"[33001, 33002, 33003, 33004, 33005, 33006, 33007, 33008, 33009, 33010, 33011, 33012, 33013, 33100, 33111, 33112, 33114, 33115, 33116, 33117, 33118, 33119, 33120, 33125, 33126, 33127, 33128, 33129, 33130, 33138, 33139, 33150, 33154, 33155, 33156, 33157, 33158, 33159, 33160, 33161, 33162, 33163, 33170, 33171, 33172, 33173, 33174, 33180, 33186, 33187, 33188, 33189, 33190, 33191, 33192, 33193, 33194, 33195, 33196, 33199, 33200, 33201, 33202, 33203, 33204, 33205, 33206, 33207, 33208, 33209, 33210, 33211, 33212, 33213, 33290, 33299, 33300, 33310, 33311, 33312, 33313, 33314, 33315, 33316, 33317, 33318, 33320, 33325, 33326, 33327, 33328, 33329, 33330, 33341, 33342, 33343, 33344, 33347, 33350, 33390, 33391, 33392, 33393, 33394, 33400, 33401, 33402, 33403, 33404, 33405, 33410, 33411, 33412, 33414, 33416, 33418, 33420, 33423, 33424, 33425, 33426, 33427, 33428, 33429, 33430, 33438, 33439, 33440, 33448, 33449, 33450, 33456, 33457, 33458, 33459, 33460, 33468, 33469, 33470, 33490, 33491, 33492, 33500, 33507, 33508, 33509, 33510, 33518, 33519, 33520, 33527, 33528, 33529, 33530, 33534, 33535, 33536, 33537, 33539, 33540, 33546, 33554, 33555, 33556, 33557, 33558, 33559, 33560, 33567, 33568, 33569, 33570, 33576, 33578, 33579, 33580, 33581, 33582, 33583, 33584, 33585, 33590, 33591, 33592, 33593, 33594, 33595, 33596, 33597, 33598, 33600, 33610, 33612, 33613, 33614, 33617, 33618, 33619, 33629, 33630, 33638, 33640, 33660, 33669, 33679, 33680, 33682, 33683, 33684, 33687, 33690, 33691, 33696, 33697, 33700, 33707, 33709, 33710, 33716, 33717, 33718, 33719, 33720, 33727, 33728, 33729, 33730, 33731, 33735, 33740, 33746, 33747, 33749, 33750, 33756, 33757, 33758, 33759, 33760, 33768, 33769, 33770, 33774, 33775, 33776, 33777, 33778, 33779, 33780, 33782, 33783, 33784, 33785, 33786, 33787, 33788, 33789, 33790, 33791, 33792, 33793, 33794, 33795, 33796, 33798, 33800, 33810, 33811, 33812, 33813, 33814, 33815, 33816, 33817, 33819, 33820, 33825, 33827, 33828, 33829, 33830, 33836, 33840, 33842, 33846, 33850, 33857, 33859, 33860, 33865, 33866, 33867, 33868, 33869, 33870, 33873, 33874, 33875, 33876, 33877, 33878, 33879, 33880, 33888, 33889, 33890, 33891, 33892, 33900, 33909, 33910, 33919, 33920, 33930, 33934, 33936, 33938, 33939, 33940, 33947, 33950, 33958, 33960, 33980, 33990, 33992, 33993, 33994, 3392]",9,294516.22222222225
2023-06-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Avila,119670.0,33,"[5216, 5217, 5120, 5001, 5002, 5003, 5420, 5165, 5004, 5151, 5309, 5310, 5215]",9,13296.666666666666
2023-09-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Avila,315656.0,69,"[5002, 5003, 5004, 5260, 5268, 5291, 5292, 5163, 5165, 5300, 5430, 5191, 5195, 5197, 5198, 5200, 5212, 5216, 5217, 5350, 5100, 5230, 5110, 5239, 5240]",5,63131.2
2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,141581.0,64,"[6210, 6410, 6475, 6476, 6443, 6800, 6360, 6458]",3,47193.66666666666
2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,714050.0,204,"[6920, 6670, 6170, 6300, 6180, 6950, 6184, 6185, 6186, 6700, 6190, 6193, 6194, 6195, 6200, 6460, 6720, 6220, 6480, 6498, 6499, 6003, 6510, 6130, 6002, 6004, 6005, 6006, 6007, 6008, 6009, 6010, 6011, 6140, 6518]",4,178512.5
2023-10-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,271308.0,28,"[6190, 6001, 6194, 6002, 6004, 6005, 6006, 6009, 6010, 6011, 6174]",2,135654.0
2023-02-07,CAUSAS NATURALES/EMBATE DE MAR,Barcelona,99611.0,4,"[8912, 8930, 8330, 8911]",2,49805.5
2023-10-21,CAUSAS NATURALES/EMBATE DE MAR,Barcelona,122544.0,7,"[8392, 8380, 8911]",3,40848.0
2023-05-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,112434.0,26,"[8225, 8195, 8197, 8198, 8172, 8173, 8755, 8697, 8191]",4,28108.5
2023-06-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,106201.0,21,"[8504, 8233, 8500, 8692, 8503, 8600, 8506, 8509]",5,21240.2
2023-06-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,962662.0,224,"[8210, 8221, 8350, 8222, 8224, 8225, 8226, 8227, 8228, 8230, 8232, 8233, 8243, 8500, 8760, 8506, 8254, 8510, 8259, 8396, 8275, 8295, 8297, 8560, 8570, 8571]",4,240665.5
2023-07-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,197903.0,49,"[8260, 8230, 8295, 8519, 8297, 8174, 8560, 8242, 8211, 8500, 8340, 8349, 8504, 8506, 8253]",4,49475.75
2023-08-31,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,288482.0,100,"[8320, 8003, 8329, 8330, 8394, 8397, 8398, 8239, 8401, 8338, 8339, 8340, 8370, 8348, 8349, 8350]",6,48080.333333333336
2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Barcelona,592618.0,666,"[8840, 8458, 8460, 8461, 8719, 8472, 8474, 8476, 8232, 8233, 8253, 8640, 8259, 8781, 8782, 8783, 8784, 8785, 8787, 8292, 8293, 8294, 8295, 8296, 8297, 8298, 8299, 8691, 8695, 8445]",5,118523.6
2023-01-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,203437.0,60,"[48640, 48130, 48015, 48277, 48150, 48160, 48550, 48180, 48950, 48192, 48960, 48196, 48710, 48460, 48215, 48992, 48993, 48610, 48100, 48620, 48110, 48370, 48508, 48510]",3,67812.33333333333
2023-06-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,166655.0,59,"[48800, 48960, 48450, 48480, 48004, 48003, 48230, 48194, 48200, 48009, 48970, 48192, 48879, 48530, 48498, 48314, 48860, 48383]",4,41663.75
2023-09-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,324850.0,72,"[48130, 48260, 48902, 48903, 48269, 48270, 48277, 48278, 48410, 48930, 48940, 48950, 48700, 48960, 48200, 48215, 48600, 48100, 48230, 48620, 48240, 48249, 48250, 48510]",4,81212.5
2023-09-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,679703.0,80,"[48970, 48100, 48100, 48970, 48970, 48970, 48004, 48970, 48004, 48005, 48970, 48004, 48004, 48100, 48970, 48970, 48970, 48450, 48970, 48004, 48005, 48004, 48970, 48005, 48004, 48100, 48004, 48160, 48970, 48130, 48004, 48005, 48970, 48005, 48970, 48970, 48970, 48970, 48970, 48970, 48450, 48005, 48100, 48006, 48450, 48610, 48004, 48004, 48005, 48970, 48970, 48005, 48007, 48970, 48100, 48100, 48100, 48970, 48970, 48006, 48005, 48970, 48005, 48004, 48970, 48006, 48970, 48004, 48970, 48005, 48170, 48450, 48004, 48970, 48970, 48004, 48970, 48004, 48004, 48970]",1,679703.0
2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Bizkaia,294264.0,247,"[48130, 48650, 48395, 48013, 48280, 48287, 48288, 48800, 48311, 48313, 48830, 48191, 48190, 48840, 48460, 48850, 48860, 48350, 48610, 48100, 48360, 48620, 48110, 48879, 48112, 48880, 48370, 48114, 48116, 48630, 48120, 48890, 48891]",10,29426.4
2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Bizkaia,2106383.0,2060,"[48640, 48130, 48650, 48140, 48141, 48142, 48144, 48150, 48160, 48170, 48180, 48700, 48190, 48191, 48192, 48194, 48195, 48196, 48710, 48200, 48212, 48213, 48215, 48220, 48230, 48240, 48260, 48269, 48270, 48278, 48280, 48287, 48800, 48288, 48289, 48291, 48810, 48300, 48820, 48309, 48311, 48314, 48315, 48830, 48320, 48840, 48330, 48850, 48340, 48860, 48350, 48869, 48360, 48879, 48370, 48890, 48891, 48380, 48381, 48382, 48383, 48895, 48900, 48901, 48902, 48903, 48392, 48390, 48394, 48395, 48393, 48391, 48910, 48920, 48930, 48940, 48950, 48960, 48450, 48970, 48460, 48980, 48990, 48991, 48992, 48993, 48480, 48490, 48498, 48499, 48500, 48508, 48509, 48510, 48001, 48002, 48003, 48004, 48005, 48006, 48007, 48520, 48008, 48010, 48011, 48012, 48013, 48014, 48015, 48009, 48530, 48550, 48080, 48600, 48610, 48100, 48620, 48110, 48111, 48112, 48113, 48114, 48115, 48116, 48630, 48120]",5,421276.6
2023-06-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,98796.0,36,"[9120, 9219, 9347, 9125, 9348, 9200, 9141, 9270, 9239, 9691, 9500, 9341, 9246]",9,10977.333333333334
2023-06-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,569759.0,46,"[9280, 9249, 9443, 9292, 9550, 9107, 9556, 9270, 9246, 9240, 9530, 9215, 9212, 1118, 9247]",3,189919.66666666663
2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,97029.0,37,"[9346, 9512, 9194, 9515, 9580, 9549, 9244, 9133, 9197, 9585, 9588, 9140, 9593, 9500, 9246, 9215]",5,19405.8
2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Burgos,478381.0,580,"[9600, 9217, 9218, 9219, 9216, 9351, 9612, 9613, 9615, 9240, 9500, 9249, 9250, 9510, 9511, 9512, 9001, 9514, 9515, 9003, 9002, 9006, 9007, 9004, 9259, 9258, 9642, 9260, 9005, 9270, 9271, 9400, 9670, 9290, 9292, 9549, 9550, 9551, 9293, 9553, 9554, 9294, 9556, 9557, 9558, 9559, 9560, 9567, 9568, 9569, 9571, 9443, 9572, 9192, 9193, 9194, 9580, 9198, 9199, 9200, 9585, 9586, 9587, 9589, 9640, 9513, 9210, 9211, 9212, 9213, 9215]",9,53153.444444444445
2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,328257.0,35,"[10210, 10180, 10694, 10750, 10600, 10120, 10001, 10002, 10195, 10004, 10005, 10519, 10840, 10300, 10392, 10110]",2,164128.5
2023-12-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,83578.0,17,"[10370, 10120, 10318, 10193, 10900, 10005, 10004, 10392, 10394, 10300]",2,41789.0
2023-01-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,438345.0,99,"[11510, 11519]",3,146115.0
2023-02-08,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,137587.0,56,[11540],2,68793.5
2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,343876.0,46,"[11520, 11393, 11620, 11400, 11593, 11178, 11180, 11630, 11510, 11639, 11160, 11580, 11550]",2,171938.0
2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,82002.0,21,"[11680, 11203, 11300, 11205, 11140, 11207, 11370, 11500, 11150, 11407, 11408, 11600, 11160]",2,41001.0
2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Cadiz,4969237.0,5323,"[11520, 11138, 11400, 11401, 11402, 11403, 11404, 11405, 11406, 11407, 11408, 11530, 11540, 11028, 11549, 11550, 11560, 11690, 11311, 11570, 11579, 11580, 11590, 11591, 11592, 11593, 11594, 11595, 11470, 11100, 11500, 11501, 11502, 11510, 11639, 11518, 11519]",8,621154.625
2023-01-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,2532662.0,755,"[39450, 39460, 39470, 39477, 39479, 39500, 39507, 39509, 39005, 39520, 39011, 39012, 39525, 39528, 39530, 39538, 39540, 39560, 39583, 39592, 39593, 39600, 39608, 39609, 39610, 39619, 39620, 39108, 39110, 39626, 39627, 39638, 39130, 39650, 39140, 39660, 39150, 39670, 39160, 39679, 39170, 39683, 39691, 39180, 39692, 39694, 39697, 39698, 39700, 39192, 39193, 39195, 39708, 39197, 39709, 39715, 39716, 39718, 39719, 39724, 39727, 39730, 39738, 39740, 39750, 39760, 39764, 39766, 39770, 39776, 39780, 39790, 39793, 39794, 39795, 39798, 39806, 39807, 39300, 39815, 39310, 39311, 39312, 39313, 39315, 39316, 39318, 39320, 39840, 39329, 39330, 39340, 39350, 39360, 39400, 39408, 39409]",8,316582.75
2023-09-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,400702.0,113,"[39690, 39692, 39820, 39694, 39313, 39700, 39706, 39195, 39707, 39708, 39709, 39330, 39716, 39724, 39340, 39600, 39477, 39479, 39610, 39120, 39001, 39002, 39003, 39004, 39005, 39006, 39008, 39010, 39650, 39140, 39012, 39794]",3,133567.33333333334
